name,strasse_nr,plz,angebot,lieferung,beschreibung_lieferangebot,selbstabholung,angebot_selbstabholung,fon,w3,mail,art,montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag,lon,lat,unique_id
Tiroler Stuben Berlin,Heerstraße 137,14055,Deutsche und österreichische Küche,WAHR,Lieferung im Umkreis von 5 Km vom Lokal,WAHR,Abholung und Lieferung von 12 - 21 Uhr,+493030099466,https://www.tiroler-stuben.com,bestellung@tiroler-stuben.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,"13,2281171","52,5061514",129
Subway,Am Borsigturm 2,13507,"Sandwiches, Salate, Wraps, Cookies",WAHR,,WAHR,,+4915201925004,https://www.lieferando.de/subway-berlin-am-borsigturm,sandwich-catering@berlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,,"13,2866924","52,5860043",130
Subway Catering,Chausseestraße 22,10115,"Sandwichplatten, Cookieschalen, Getränke",WAHR,Berlin,WAHR,"Für Cateringplatten benötigen wir einen Vorlauf, wie auf unserer Website beschrieben.",+4915201925004,https://sandwich-catering-berlin.de,sandwich-catering@berlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,10:00-23:00,10:00-23:00,"13,3830087","52,5308182",131
Subway Friedrichstraße,Friedrichstraße 114,10117,Amerikanische Küche,WAHR,www.Lieferando.de,WAHR,,+493040743335,https://www.dein-subway.de,Subway-Friedrichstrasse@ok.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,11:00-20:00,11:00-20:00,"13,3874635","52,5265278",132
TEAM GETRÄNKE,Sophie-Charlotten-Straße 9-10,14059,"Getränke, Milch, Kaffee, Tee, Kekse (über 11.000 Produkte)",WAHR,Lieferungen Berlinweit,FALSCH,,+493054905000,http://www.getraenke.team,info@getraenke.team,Getränkemarkt,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,"13,2852369","52,5212156",133
Restaurant bass,Xantener Straße 9,10707,"Badisch, norddeutsches Restaurant",FALSCH,,WAHR,Bestellungen per Mail oder Telefon zwischen 10:00 und 21:00 Uhr möglich.,+493088677509,https://restaurant-bass.de,info@restaurant-bass.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,12:00-14:00 & 17:00-23:00,12:00-14:00 & 17:00-23:00,12:00-14:00 & 17:00-23:00,12:00-14:00 & 17:00-23:00,12:00-14:00 & 17:00-23:00,12:00-14:00 & 17:00-23:00,"13,3109222","52,4989606",134
Ristorante Marcone,Berkaer Straße,14199,Italienische Küche,FALSCH,,WAHR,,+4915738816632,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,15:00-19:00,15:00-19:00,15:00-19:00,15:00-19:00,15:00-19:00,15:00-19:00,"13,2860703","52,4789261",135
VEG'D - Vegan Burgers,Boxhagener Straße 21,10245,Vegane Burger & Sweets,WAHR,Lieferung in und um Friedrichshain,WAHR,Man kann jederzeit über unsere Website oder Lieferando zur Abholung vorbestellen.,+491725412634,https://www.vegd.eu,contact@vegd.eu,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,"13,4562244","52,5131126",136
Gyros King,Lichtenrader Damm 45a,12305,Griechische Küche,WAHR,PLZ,WAHR,,+4915166750590,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,"13,4040984","52,4100676",137
Haus des Dampfes,Steglitzer Damm 19,12169,"E-Zigaretten, Liquids & Zubehör",WAHR,Wir liefern Deine Bestellung in ganz Berlin noch am selben Tag bis 21 Uhr,WAHR,Du kannst deine Ware online oder telefonisch bestellen und diese dann im Laden abholen,+493084516750,https://www.hausdesdampfes.de,info@hausdesdampfes.de,Anderes (bitte bei der nächsten Frage beschreiben),10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,,"13,3393922","52,4511683",138
India Haus,Achilles Straße 62,13125,Indische küche,FALSCH,,WAHR,12 uhr bis 21 uhr,+491635082688,https://indiahaus.karow,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,"13,489022","52,617151",139
Chay Long,Raumerstraße 17,10437,Vegane asiatische Tapas,WAHR,kontaktlose Lieferungen im Umkreis von 7km,WAHR,von 16-21 Uhr,+4915259555666,http://www.chay-long.com/?lang=en,kontakt@chay-long.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",15:00-21:00,15:00-21:00,15:00-21:00,15:00-21:00,15:00-21:00,15:00-21:00,15:00-21:00,"13,4218312","52,5416147",140
Zyankali Bar,Gneisenaustraße 17,10961,Cocktail Bar,WAHR,Lieferung in den angrenzenden PLZ-Bezirken,WAHR,Abholung von Cocktails in Flaschen tgl. 15:00-21:00 Je 100/200/500ml,+491776247790,https://www.zyankali.de,office@zyankali.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",15:00-21:00,15:00-21:00,15:00-21:00,15:00-21:00,15:00-21:00,15:00-21:00,15:00-21:00,"13,3929274","52,4915317",141
McDonald's Treptower Park,Am Treptower Park 14,12435,McDonald's,WAHR,Über www.lieferando.de sind Bestellungen vorzunehmen,WAHR,Jederzeit innerhalb der Öffnungszeiten (Mo-Sa) von 11.00h-20.00h vor Ort zu bestellen und abzuholen. Eine Vorbestellung ist nicht nötig.,+493053695500,https://www.mcdonalds-olivermix.de,91000@restarant.de.mcd.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,,"13,457761","52,4911502",142
Cafe Schlacht,Breisgauerstraße 2,14129,Schnitzel Express und weitere alpenländische Spezialitäten,WAHR,14129,WAHR,Bestellen und abholen,+493062201517,https://www.cafeschlacht.de,cafeschlacht@gmx.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,"13,2147231","52,4391306",143
Vegan Bio Snackbar by Attila Hildmann,Schillerstraße 71,10627,"Burger, Vöner, Pizza, Süßes - alles mit Liebe hausgemacht, BIO* und VEGAN",WAHR,"Lieferungen nur im 3,5 km Umkreis von Schillerstr. 71, Abholung JEDERZEIT und von ÜBERALL",WAHR,Gerne unter telefonischer Vorbestellung,+4917631465659,https://www.attilahildmann.de/de/vegan-food-snackbar-berlin-charlottenburg.html,office@attilahildmann.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,10:00-22:00,10:00-22:00,"13,3035437","52,5094767",144
McDonald's Ostbahnhof,Am Ostbahnhof 9,10243,McDonald's,WAHR,Über www.lieferando.de sind Bestellungen vorzunehmen.,WAHR,Jederzeit innerhalb der Öffnungszeiten von 10.00h-22.00h vor Ort zu bestellen und abzuholen. Eine Vorbestellung ist nicht nötig.,+493029364913,https://www.mcdonalds-olivermix.de,91079@restaurant.de.mcd.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,"13,4347244","52,5100054",145
Pembeles Lieferdienst,Badstraße 35,13357,Lieferdienst / Einkaufsservice,WAHR,Liefergebiete sind ausschließlich Mitte und Reinickendorf,FALSCH,,+4915218009737,https://www.ebay-kleinanzeigen.de/s-anzeige/lieferdienst-einkaufshilfe-nur-4-99-pro-lieferung/1352539152-236-9677,pembeleslieferdienst@gmail.com,Anderes (bitte bei der nächsten Frage beschreiben),07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,,,"13,3791565","52,5530963",146
Twins Food & Coffee,Elsenstraße 109,12435,"Mediterranes Essen, Kuchen, Hausgemachte Pasten, Salate uvm.",WAHR,Ab einem Bestellwert von 50€ liefern wir bei einem Radius von 3 Km,WAHR,Bestellungen ab 10 Personen ist es wünschenswert wenn es 1 Tag vorher bei uns eingeht. Viele warmen und kalte Gerichte haben wir auch vor Ort als TO-GO.,+491782065280,https://www.twins-catering.de,kontakt@twins-catering.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,"13,45592","52,49006",147
McDonald's Wrangelstraße,Wrangelstraße 35,10997,McDonald's,WAHR,Über www.lieferando.de sind Bestellungen vorzunehmen.,WAHR,"Jederzeit innerhalb der Öffnungszeiten (Mo-Fr von 08:00h-01:00h, Sa+So von 10:00h-03:00) vor Ort zu bestellen und abzuholen. Eine Vorbestellung ist nicht nötig.",+493061073338,https://www.mcdonalds-olivermix.de,91418@restaurant.de.mcd.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",08:00-01:00,08:00-01:00,08:00-01:00,08:00-01:00,08:00-03:00,10:00-03:00,10:00-01:00,"13,4362873","52,5006923",148
Restaurant Pastis GmbH,Rüdesheimerstraße 9,14197,Französiche Küche,FALSCH,,WAHR,Mittagstisch Pasta Suppen dessert,+493081055769,https://https/www.restaurant-pastis.de,info@restaurant-pastis.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,,"13,3148251","52,4725888",149
McDonald's Friedrichstraße,Friedrichstraße 141-142,10117,McDonald's,WAHR,Über www.lieferando.de sind Bestellungen vorzunehmen.,WAHR,Jederzeit innerhalb der Öffnungszeiten von 07.00h-22.00h vor Ort zu bestellen und abzuholen. Eine Vorbestellung ist nicht nötig.,+493020074936,https://www.mcdonalds-olivermix.de,91539@restaurant.de.mcd.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,"13,3880113","52,520009",150
LANDHAUS HUBERTUS,Invalidensiedlung 46,13465,"Deutsche Küche, Speisen außer Haus",WAHR,"Lieferungen im Umkreis 13465 Belin-Frohnau, 16548 Glienicke Nordbahn, 16540 Hohen Neuendorf, weitere Gebiete und PLZ auf Anfrage, weitere Infos auf der Website.",WAHR,"Wir sind jederzeit telefonisch erreichbar, auch außerhalb der Öffnungszeiten, telefonisch, per Email, direkte Bestellmöglichkeit auf der Website möglich. Umso früher Ihre Bestellung uns erreicht, umso besser!",+49304011746,https://www.landhaushubertus.com,info@landhaushubertus.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,"13,2840401","52,65551",151
McDonald's Ostkreuz,Sonntagstraße 37,10245,McDonald's,WAHR,Über www.lieferando.de sind Bestellungen vorzunehmen.,WAHR,Jederzeit innerhalb der Öffnungszeiten von 06:00h-01:00h vor Ort zu bestellen und abzuholen. Eine Vorbestellung ist nicht nötig.,+493020050882,https://www.mcdonalds-olivermix.de,91723@restaurant.de.mcd.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",06:00-01:00,06:00-01:00,06:00-01:00,06:00-01:00,06:00-01:00,06:00-01:00,06:00-01:00,"13,469675","52,503898",152
McDonald's Zooterrassen,Hardenbergplatz 13,10623,McDonald's,WAHR,Über www.lieferando.de sind Bestellungen vorzunehmen.,WAHR,Jederzeit innerhalb der Öffnungszeiten von 07:00h-22:00h vor Ort zu bestellen und abzuholen. Eine Vorbestellung ist nicht nötig.,+493030827833,https://www.mcdonalds-olivermix.de,91733@restaurant.de.mcd.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,"13,3334761","52,507955",153
Geist im Glas,Lenaustraße 27,12047,"American Brunch, Breakfast, Cocktails",WAHR,"Lieferung jeden Samstag & Sonntag, zwischen 12:00 - 13:00 Uhr für alle Vorbestellungen bis 11:30Uhr am selben Tag, Lieferung innerhalb des S-Bahn Rings",WAHR,"Samstags und Sonntags zwischen 11:00-14:30 Uhr, telefonische bzw. Online Vorbestellung möglich",+4915251353816,https://geistimglas.de,geistimglasberlin@gmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,11:00-14:30,11:00-14:30,"13,4248043","52,4901753",154
Enoteca Vecchio Mulino,Drakestraße 36,12205,italienische Küche,FALSCH,,WAHR,Abolungunszeiten: 13-17 Uhr,+491728911546,https://www.enotecavecchiomulino.de,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,14:00-17:00,13:00-17:00,13:00-17:00,,"13,2950182","52,4448646",155
Monsieur collard,Eisenbahnstraße 42/43,10997,Französische Spezialitäten,FALSCH,,WAHR,Champagne Wein Cremant käse usw,+4915127562242,,monsieurcollard@t-online.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,,"13,43186","52,50202",156
Delizie D'Italia,Kollwitzstraße 100,10435,Ital. Küche,WAHR,,WAHR,Bis 20 Uhr,+491708942582,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,4214482","52,5389997",157
esswirtschaft,Rudower Chaussee 24,12489,Bistro mir täglich wechselnder Lunchkarte,WAHR,innerhalb Berlins,WAHR,B,+493070033593,https://www.esswirtschaft.de,service@esswirtschaft.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,,,"13,5327406","52,4314119",158
Pizza Ragazzi,Hauptstraße 1,10317,"Wir bieten hausgemachte, original italienische Steinofenpizza im Format Ø 40cm.",WAHR,"Wir liefern nach aktuell nach: 10243, 10245, 10247, 10249, 10317, 10318, 10319, 10367 und 12435. Wir arbeiten an der Erweiterung des Liefergebietes.",WAHR,Bei Bestellungen für Selbstabholer benötigen wir ca. 30 min. Erreichbar über Paul und Paula Ufer.,+4915237635790,https://www.pizzaragazzi.de,pizzarummelsbucht@gmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",16:20-22:00,16:20-22:00,16:20-22:00,16:20-22:00,16:20-22:00,16:20-22:00,16:20-22:00,"13,472915","52,5007732",159
esswirtschaft adlershof,Rudoer Chaussee 24,12489,Bistro mit täglich wechselndem Lunchangebot,WAHR,Annahme von Bestellungen immer nur bis zum Vortag 13 Uhr und nur für die Wochentage von Montag bis Freitag.,WAHR,Annahme von Bestellungen immer nur bis zum Vortag 13 Uhr und nur für die Wochentage von Montag bis Freitag.,+493070033593,https://www.esswirtschaft.de,service@esswirtschaft.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,,,"13,5327406","52,4314119",160
esswirtschaft fernsehwerft,Stralauer Allee 7,10245,Bistro mit täglich wechselndem Lunchangebot,WAHR,"Annahme von Bestellungen immer bis zum Vortag, 13 Uhr, und nur für die Wochentage von Montag bis Freitag.",WAHR,"Annahme von Bestellungen immer bis zum Vortag, 13 Uhr, und nur für die Wochentage von Montag bis Freitag.",+4930300190141,https://www.esswirtschaft.de,service@esswirtschaft.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,,,"13,4549848","52,4999047",161
esswirtschaft südkreuz,Wilhelm-Kabus-Straße 75,10829,Bistro mit täglich wechselndem Lunchangebot,WAHR,"Annahme von Bestellungen immer bis zum Vortag, 13 Uhr, und nur für die Wochentage von Montag bis Freitag.",WAHR,"Annahme von Bestellungen immer bis zum Vortag, 13 Uhr, und nur für die Wochentage von Montag bis Freitag.",+493092218409,https://www.esswirtschaft.de,service@esswirtschaft.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,,,"13,3659677","52,4790657",162
Optimahl Catering GmbH,Groß-Berliner Damm 82A,12487,Unsere wöchentlich wechselnden Gerichte findet Ihr auf unserer Website.,WAHR,"Annahme von Bestellungen immer bis zum Vortag, 13 Uhr, und nur für die Wochentage von Montag bis Freitag innerhalb Berlins.",FALSCH,,+4930755419755,https://www.optimahl.de/shop,service@optimahl.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,,,"13,5181317","52,4420773",163
BIOLOGISCH by Optimahl,Groß-Berliner Damm 82A,12487,Caterinng für Kinder und Familien,WAHR,"Annahme von Bestellungen immer bis zum Vortag, 13 Uhr, und nur für die Wochentage von Montag bis Freitag, innerhalb Berlins.",FALSCH,,+4930755419755,https://www.biologisch.catering,info@biologisch.catering,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,10:00-14:00,,,"13,5181317","52,4420773",164
Burgers Berlin,Sonntagstraße 2,10245,Homemade Burger,WAHR,,WAHR,,+493029364069,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,"13,467775","52,5047722",165
Osteria 33,Goerzallee 33,12207,Mediterrane Küche,WAHR,"Lieferungen im Umkreis von Lichterfelde bis ca.6km(Steglitz,Dahlem,Zehlendorf..) ab 16€ Bestellwert",WAHR,,+493089000057,,osteria33@gmail.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",13:00-21:00,13:00-21:00,13:00-21:00,13:00-21:00,13:00-21:00,13:00-21:00,12:00-21:00,"13,3065047","52,4282777",166
OLLA Orient,James Simon Park S-Bahnbögen 154/5,10178,Arabische und mediterrane Speisen inkl Steinofenpizza,WAHR,Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht,WAHR,spätestens 30 Minuten vor Ende der Öffnungszeiten,+493020054515,https://www.olla-orientlounge.de,info@olla-orientlounge.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,"13,3992109","52,5217395",167
Santa Cantina GmbH,Simon-Dach-Straße 22,10245,Piri's Burger,WAHR,Bestellungen über https://kolyma2.coopcycle.org/de/restaurant/17-piri-s-burger oder direkt im Restaurant,WAHR,,+493022360175,https://www.santaberlin.com/santa-cantina,cantina@santaberlin.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,"13,4548093","52,5085836",168
Das ClubRestaurant,Am Großen Wannsee 22/26,14109,Deutsche/ Mediterrane Küche,FALSCH,,WAHR,Mittwoch/ Freitag/ Samstag von 12 bis 15 & 18 bis 20 Uhr sonntags von 12 bis 19 Uhr,+4917623203703,https://www.wannseeblick.de,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,1616199","52,4257",169
Restaurant Spreeblick,Propststraße 9,10178,"Hausgemachte Altberliner Speisen, Deutsche Küche",WAHR,"Lieferung im Nikolaiviertel, Fischerinsel und Rathauspassagen möglich",WAHR,Sie können täglich in der Zeit zwischen 12:00 Uhr und 21:00 Uhr bestellen und abholen. Vorbestellungen für Folgetage sind ebenfalls möglich.,+49302425247,https://spreeblick-nikolaiviertel.de,spreeblick@t-online.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,"13,406118","52,5162796",170
Wildeküche,Kiefholzstraße 402,12435,"vegan, regional, basisch, Industrie zuckerfrei.",WAHR,Wir liefern Deutschlandweit - Info auf Webseite,FALSCH,,+4915143217418,https://www.wildekueche.com,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,4566906","52,4873022",171
Heidi‘s Café,Spreeufer 4,10178,"Hausgebackene Kuchen & Kaffee (to go) u.a. Apfel-Streusel Kuchen, Cheesecake, Kalter Hund, Carrot Cake uvm.",FALSCH,,WAHR,,+491732307762,https://heidis-cafe.metro.rest,info@heidis-cafe.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,11:00-17:00,11:00-17:00,11:00-17:00,"13,4051672","52,5166081",172
BurgerArt,Albrechtstraße 131,12165,Amerikanische Küche,WAHR,Rund um Steglitz,WAHR,Am besten bitte mit vorheriger telefonischer Bestellung,+493076722834,https://www.burgerart.com,mail@burgerart.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-23:00,12:00-23:00,12:00-22:00,"13,3220651","52,4570056",173
Napolitana,Puschkinallee 15,12435,Pizza,FALSCH,,WAHR,,+4917673599887,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,"13,4647386","52,4932173",174
Schöne Burger,Goltzstraße 24,10781,Hausgemachte Burger mit Neuland Fleisch,WAHR,Lieferung in Schöneberg und Umgebung,WAHR,sie könne in unseren Öffnungszeiten gerne jederzeit zum Selbstabholern vorbestellen oder auch Vorort bestellen,+493020859800,https://schoene-burger.de,info@schoene-burger.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-22:30,12:00-22:30,12:00-22:30,12:00-22:30,12:00-23:30,12:00-23:30,12:00-22:30,"13,3536971","52,4966805",175
Restaurant Café Pane Vino,Bölschestraße 26,12587,Pizza Nudeln Salate Fleisch Fisch,FALSCH,,WAHR,,+4915118479632,https://www.restaurant-panevino.de,post@restaurant-panevino.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-19:00,"13,6249002","52,4501365",176
Alpenstück,Gartenstraße 9,10115,"Süddeutsche Spezialitäten wie Maultaschen Königsberger Klopse, Spätzle, Gulasch, Suppen",FALSCH,,WAHR,wir bereiten täglich ein Mittagsgericht zum Abholen zu,+493021751646,https://alpenstueck.de,info@alpenstueck.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,"13,3918404","52,5303291",177
BUONODORO,Königin Luise Straße 71,14195,"Pizza,Pasta,Salate",WAHR,"14195,12157, 12161, 12163, 12165, 12167, 12169, 12247,",WAHR,"Pizza,Pasta,Salate",+4917643644548,https://www.lieferando.de/buonodoro,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",13:00-22:00,13:00-22:00,13:00-22:00,13:00-22:00,13:00-22:00,13:00-22:00,13:00-23:00,"13,2830919","52,4590244",178
E&M Leydicke,Mansteinstraße 4,10783,"Fruchtweine, Liköre & Obstbrände",WAHR,Lieferung ab 6 Flaschen in ganz Berlin. Termine werden telefonisch vereinbart.,WAHR,Alle Fruchtweine Liköre & Obstbrände können nach vorheriger Terminabsprache auch abgeholt werden. Bitte rufen Sie uns gerne an!,+49302162973,https://leydicke.com,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,3666136","52,4926082",179
Die kleine Fa. Sommerfeld Spirituosen GmbH,Richardstraße 31/32,12043,"Spirituosen, Bier, alkoholfreie Getränke",WAHR,Wie liefern innerhalb von Berlin,WAHR,Wir haben ein Ladengeschäft das täglich von Montag bis Samstag von 10 bis 19 Uhr geöffnet hat! (jetzt in Krisenzeiten allerdings nur von 12 bis 18 Uhr),+496876922,https://www.sommerfeld-spirituosen.de,some-sprit@web.de,Getränkemarkt,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,,"13,4431099","52,47555",180
Subway im Eastgate,Marzahner Promenade 1a,12679,"Lecker Sandwiches, Salate und Wraps individuell für Dich zubereitet.",FALSCH,,WAHR,Bestellannahme über die Internetseite www.subway-sandwiches.de oder telefonisch Mo-Sa 10-18 Uhr,+493097891335,http://www.subway-eastgate.de,bestellung@subway-eastgate.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,"13,5448268","52,5436813",181
Apocalypse Delivery,Graefestraße 66/67,10967,"Backwaren, Kaffee, Tee, Käse, Wein, Bier",WAHR,"Wir weiten unseren Radius stetig weiter aus. Derzeit Neukölln, Kreuzberg, Prenzlauer Berg, Friedrichshain, Mitte",FALSCH,,,https://apocalypse-delivery.myshopify.com/,hello@vote-coffee.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,4168082","52,4914162",182
NaNum,Lindenstraße 90,10969,feine koreanische Speisen und eigene Keramik,WAHR,,WAHR,,+491772084785,https://www.nanumberlin.com,gaeste@nanumberlin.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,12:00-14:30,12:00-14:30,12:00-14:30 & 18:00-21:00,12:00-14:30 & 18:00-21:00,18:00-21:00,,"13,3931632","52,5024559",183
BLACKBEARDS BBQ BERLIN,Pappelallee 55,10437,"Handmade BBQ Ribs,Burger",WAHR,Über Lieferando oder direkt vom Restaurant 3 km Umkreis(von 10437),WAHR,Siehe Lieferando oder Webseite,+493041192288,https://blackbeards.berlin,mail@backbeards.berlin,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,13:00-22:00,13:00-22:00,"13,418295","52,5468921",184
Machiavelli am Roseneck,Clayallee 1,14195,"Pizza,Pasta,Salate,Fleisch,Fisch,Desserts",WAHR,"14195 ,10623,10625,10709,10705",WAHR,Täglich 11:00 bis 22:00 uhr,+493053157176,https://www.machiavelli-berlin.de,roseneck@machiavelli-berlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"13,2780906","52,474811",185
